score,label
-0.21698062,1
-0.21703543,1
-0.24430576,1
-0.18409435,1
-0.13475136,1
-0.082815014,1
-0.08184734,1
-0.078269474,1
-0.08669632,1
-0.11538592,1
-0.11059838,1
-0.10887457,1
-0.11491354,1
-0.124416,1
-0.12459098,1
-0.16550624,1
-0.19791815,1
-0.21147501,1
-0.23688152,1
-0.19191615,1
-0.1654452,1
-0.118250385,1
-0.1141043,1
-0.102245376,1
-0.108647116,1
-0.11772813,1
-0.11981502,1
-0.112246394,1
-0.11923511,1
-0.12543191,1
-0.12870255,1
-0.16453138,1
-0.20385924,1
-0.22165793,1
-0.24971867,1
-0.216385,1
-0.15992512,1
-0.12773523,1
-0.11614301,1
-0.10485235,1
-0.11324484,1
-0.11988377,1
-0.13130839,1
-0.11515005,1
-0.11825246,1
-0.12190816,1
-0.14747025,1
-0.18370587,1
-0.22606346,1
-0.2567123,1
-0.26424202,1
-0.23099947,1
-0.1722552,1
-0.15724722,1
-0.12843089,1
-0.117452435,1
-0.12146171,1
-0.13032131,1
-0.12162375,1
-0.12601043,1
-0.11916847,1
-0.13508323,1
-0.17043892,1
-0.18929353,1
-0.26019305,1
-0.2487547,1
-0.27080378,1
-0.25629902,1
-0.20716117,1
-0.17193338,1
-0.14737248,1
-0.12007683,1
-0.121933855,1
-0.131694,1
-0.14405446,1
-0.15030245,1
-0.1324332,1
-0.15456222,1
-0.20726669,1
-0.21167716,1
-0.29684845,1
-0.25153393,1
-0.28860328,1
-0.2693017,1
-0.21235842,1
-0.19414712,1
-0.16529465,1
-0.14032641,1
-0.13723214,1
-0.13538776,1
-0.13943212,1
-0.14247325,1
-0.17189385,1
-0.20081624,1
-0.20311977,1
-0.25059256,1
-0.29244754,1
-0.28958753,1
-0.29606396,1
-0.28786272,1
-0.24798162,1
-0.20427203,1
-0.20685486,1
-0.17288643,1
-0.16471502,1
-0.16063593,1
-0.17795561,1
-0.17510508,1
-0.2064668,1
-0.19920975,1
-0.22130305,1
-0.2779384,1
-0.30371797,1
-0.29352534,1
-0.28420287,1
-0.2797907,1
-0.22265747,1
-0.15014046,1
-0.10779541,1
-0.11291156,1
-0.10295115,1
-0.11684252,1
-0.1340123,1
-0.17276305,1
-0.16421948,1
-0.22348416,1
-0.18288593,1
-0.20970517,1
-0.29989257,1
-0.2790522,1
-0.2951222,1
-0.3107756,1
-0.21460651,1
-0.15998627,1
-0.11678861,1
-0.11747036,1
-0.10629483,1
-0.117125444,1
-0.15671232,1
-0.16749765,1
-0.1776438,1
-0.21915483,1
-0.21510546,1
-0.21780547,1
-0.28360063,1
-0.29062968,1
-0.3000844,1
-0.25424623,1
-0.16049822,1
-0.118979536,1
-0.10352345,1
-0.10587379,1
-0.09813309,1
-0.099568926,1
-0.13430038,1
-0.15115172,1
-0.1482487,1
-0.19763392,1
-0.19605514,1
-0.17607395,1
-0.24929184,1
-0.27908808,1
-0.29732987,1
-0.20666131,1
-0.12251507,1
-0.098331355,1
-0.10151431,1
-0.09186862,1
-0.09307586,1
-0.09522868,1
-0.12571996,1
-0.15157357,1
-0.12703653,1
-0.18865888,1
-0.15017486,1
-0.1254811,1
-0.20210266,1
-0.2504395,1
-0.28886738,1
-0.16775422,1
-0.09484931,1
-0.095706835,1
-0.07821097,1
-0.08490243,1
-0.08717025,1
-0.085743174,1
-0.11007553,1
-0.12838492,1
-0.14004089,1
-0.13775274,1
-0.13341701,1
-0.12307801,1
-0.17880955,1
-0.23867907,1
-0.27120146,1
-0.15426624,1
-0.08460313,1
-0.09876491,1
-0.09725537,1
